year,scene_count,asset_id,bands
2019,10,users/markstonegobigred/Parcela/s2_2019_median_6b,"['B2', 'B3', 'B4', 'B8', 'B11', 'B12']"
2025,12,users/markstonegobigred/Parcela/s2_2025_median_6b,"['B2', 'B3', 'B4', 'B8', 'B11', 'B12']"
